Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion_x,Name,City,Contact_Number,Email,Gender,Address,Product_Name,Category,UnitPrice,Occasion_y,Description,TotalAmount,Year,Month,Month_Name,Day,Weekday_Name
1,C037,67,5,2023-02-24,23:48:13,05-03-2023,07:27:10,Bardhaman,Anniversary,Aradhya Kumar,Davanagere,1972392634,faiyaz10@yahoo.com,Male,"123, Sagar Road
Dharmavaram-048740",Maiores Box,Raksha Bandhan,1374,Anniversary,Earum quos enim minima.,6870,2023,2,February,2023-02-24,Friday
2,C019,41,2,2023-11-07,23:30:18,13-11-2023,07:16:17,Jaipur,Diwali,Amira Sengupta,Danapur,914513393592,purab20@dhar.com,Male,"77
Dass Street
Sasaram-948992",Aut Box,Sweets,1977,Diwali,Ab quisquam nobis ducimus.,3954,2023,11,November,2023-11-07,Tuesday
3,C029,67,5,2023-07-14,19:12:03,19-07-2023,17:39:00,Bilaspur,Anniversary,Badal Sathe,Haridwar,912454360885,lavanya23@yahoo.com,Female,"H.No. 78, Suresh, Hapur-924072",Maiores Box,Raksha Bandhan,1374,Anniversary,Earum quos enim minima.,6870,2023,7,July,2023-07-14,Friday
4,C012,14,5,2023-07-10,04:44:29,19-07-2023,06:33:23,Guwahati,Birthday,Onkar Mangat,Bilaspur,919921125624,oorjabassi@wali.com,Male,"H.No. 460, Sankar Ganj
Tadipatri 227246",Deserunt Box,Colors,1915,Birthday,Incidunt hic vero esse saepe illum.,9575,2023,7,July,2023-07-10,Monday
5,C078,58,2,2023-02-11,19:44:48,18-02-2023,11:08:52,Rajkot,Valentine's Day,Jivika Rajan,Bhubaneswar,3005266310,hunar08@hotmail.com,Female,"67
Cheema
Bardhaman 968232",Sed Pack,Cake,1492,Valentine's Day,Reiciendis nam omnis vel explicabo amet perferendis.,2984,2023,2,February,2023-02-11,Saturday
6,C040,28,4,2023-08-20,22:11:35,26-08-2023,19:06:46,Sirsa,Raksha Bandhan,Hazel Mangat,Pallavaram,918810621361,aarnakrishna@chokshi.org,Female,"H.No. 07
Lad Ganj, Jaipur-750706",Velit Set,Sweets,1778,Raksha Bandhan,Quidem sit facilis consequuntur iusto dignissimos exercitationem.,7112,2023,8,August,2023-08-20,Sunday
7,C009,45,2,2023-05-08,01:45:13,13-05-2023,10:07:17,Nanded,Birthday,Ritvik Borah,Madurai,1336765676,daliajivika@yahoo.com,Female,"28/64
Lanka Marg, Ramgarh 141634",Iusto Set,Raksha Bandhan,722,Birthday,Adipisci quo laboriosam.,1444,2023,5,May,2023-05-08,Monday
8,C097,43,3,2023-11-08,19:20:02,14-11-2023,08:44:45,Morena,Diwali,Nakul Randhawa,Sri Ganganagar,456900126,tlall@ramanathan.info,Female,"376
Tiwari Zila, Munger-178543",Quisquam Pack,Raksha Bandhan,750,Diwali,Odio incidunt tempore nesciunt.,2250,2023,11,November,2023-11-08,Wednesday
9,C044,27,4,2023-08-20,23:39:51,29-08-2023,23:59:54,Rajkot,Raksha Bandhan,Seher Mann,Agra,9843970658,vardaniyakaran@krishnamurthy.com,Male,"H.No. 146, Ram Chowk
Meerut-776118",Architecto Gift,Cake,548,Raksha Bandhan,Odio quisquam inventore esse sed recusandae autem.,2192,2023,8,August,2023-08-20,Sunday
10,C099,56,3,2023-02-26,00:17:26,08-03-2023,20:47:43,Ambala,Anniversary,Ranbir Loyal,Dhanbad,913621448305,reyanshghosh@rajagopalan.com,Female,"496
Kumer Zila
Raurkela Industrial Township-618990",Quia Gift,Raksha Bandhan,1272,Anniversary,Veniam expedita odit esse.,3816,2023,2,February,2023-02-26,Sunday
11,C065,16,4,2023-03-02,20:14:55,03-03-2023,23:19:47,Belgaum,Holi,Badal Vora,North Dumdum,9753056313,kbobal@hotmail.com,Male,"413
Ram Circle, Dhanbad-458174",Ut Pack,Sweets,1721,Holi,Quae occaecati laborum expedita perspiciatis consequatur ad.,6884,2023,3,March,2023-03-02,Thursday
12,C097,38,3,2023-07-12,08:28:56,20-07-2023,23:34:57,Karnal,Birthday,Nakul Randhawa,Sri Ganganagar,456900126,tlall@ramanathan.info,Female,"376
Tiwari Zila, Munger-178543",Mollitia Set,Cake,562,Birthday,Eaque deserunt possimus alias sint odit facere.,1686,2023,7,July,2023-07-12,Wednesday
13,C024,20,3,2023-02-24,16:47:16,04-03-2023,02:27:37,Gandhidham,Anniversary,Jhanvi Chowdhury,Kavali,910316756360,magarvardaniya@biswas.com,Female,"827, Shere Nagar, Mangalore 084058",Reiciendis Box,Colors,697,Anniversary,Molestias earum quam dolor.,2091,2023,2,February,2023-02-24,Friday
14,C042,60,1,2023-11-08,03:46:06,15-11-2023,12:08:02,Bilaspur,Diwali,Eshani Sharma,Ajmer,916843169694,waliavaibhav@yahoo.com,Male,"85/523
Raval Path, Bhind-188340",Ea Set,Sweets,827,Diwali,Ex omnis sit quibusdam.,827,2023,11,November,2023-11-08,Wednesday
